Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
192,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,23 Dec 2020
193,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,25 Aug 2021
194,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,25 Nov 2020
195,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4200,3500,16 Sep 2020
196,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3900,4200,4100,22 Apr 2020
197,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,803,803,803,20 Mar 2019
198,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,920,920,920,20 Nov 2019
199,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2002,2304,2200,30 Sep 2019
200,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2110,3010,3010,27 Sep 2021
201,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2270,2270,2270,23 Dec 2020
202,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2517,2517,2517,04 Apr 2019
203,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3005,3005,3005,08 Jun 2020
204,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3151,3151,3151,22 Dec 2021
205,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2500,2600,2550,18 Jan 2021
206,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,4600,4800,4700,09 Jul 2020
207,Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,1110,1220,1210,21 Sep 2021
208,Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,1480,1510,1500,26 Oct 2021
209,Salem,Attur,Jowar(Sorghum),Other,FAQ,2400,2500,2450,29 Dec 2020
210,Salem,Salem,Jowar(Sorghum),Other,FAQ,2200,2400,2300,19 Dec 2020
211,Theni,Theni,Jowar(Sorghum),Jowar ( White),FAQ,1800,1900,1850,04 Sep 2021
212,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3200,2800,05 Apr 2019
213,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3200,2800,06 Jun 2019
214,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2430,3200,2800,24 Jul 2019
215,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,19 Nov 2020
216,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1812,4289,4000,18 Nov 2019
217,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2325,3025,3000,27 Oct 2020
218,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2360,2360,2360,02 Sep 2021
219,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1650,1700,1670,29 Apr 2021
220,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2500,2800,2650,27 Jul 2021
221,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,3000,3400,3200,27 Sep 2021
222,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,6000,6500,6200,24 Mar 2021
223,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,1600,1800,1700,27 Aug 2021
224,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,3300,3500,3400,21 Apr 2021
225,Salem,Salem,Jowar(Sorghum),Other,FAQ,2300,2500,2400,04 Dec 2020
226,Theni,Theni,Jowar(Sorghum),Jowar ( White),FAQ,1700,1750,1725,10 Nov 2021
227,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3000,2700,10 Jul 2019
228,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3000,2800,15 May 2019
229,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3000,2800,23 Jul 2019
230,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3200,2800,01 Apr 2019
231,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3200,2800,22 Apr 2019
232,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3200,2800,26 Jun 2019
233,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,01 Jul 2021
234,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,02 Dec 2020
235,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,18 Aug 2021
236,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,24 Feb 2021
237,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3050,3900,3550,20 Nov 2020
238,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3500,4500,4000,22 Dec 2021
239,Madurai,Usilampatty,Jowar(Sorghum),Local,FAQ,3000,3500,3250,05 Feb 2019
240,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,630,2430,2430,26 Feb 2019
241,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1310,2265,2100,13 Feb 2020
242,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1602,1602,1602,17 Jul 2020
243,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1760,1760,1760,12 Nov 2019
244,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2020,2020,2020,29 Oct 2021
245,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2330,2330,2330,14 Dec 2020
246,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2500,2500,2500,10 May 2019
