Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
69,Villupuram,Tindivanam,Red Gram,Other,FAQ,6199,8509,7409,11-Jan-16
70,Villupuram,Tindivanam,Red Gram,Other,FAQ,7509,0,0,7-Jan-16
71,Villupuram,Tindivanam,Red Gram,Other,FAQ,8229,0,0,8-Jan-16
72,Villupuram,Tindivanam,Red Gram,Other,FAQ,8509,0,0,14-Dec-15
73,Villupuram,Ulundurpettai,Red Gram,Other,FAQ,4212,4212,4212,8-Oct-15
74,Vellore,Vellore,Red Gram,Other,FAQ,1069,1889,1800,18-May-15
75,Vellore,Vellore,Red Gram,Other,FAQ,1589,1589,1589,7-Dec-15
76,Vellore,Vellore,Red Gram,Other,FAQ,1889,5890,4000,5-Nov-15
77,Vellore,Vellore,Red Gram,Other,FAQ,2069,2069,2069,25-Sep-15
78,Vellore,Vellore,Red Gram,Other,FAQ,2201,4379,4000,30-Mar-15
79,Vellore,Vellore,Red Gram,Other,FAQ,2368,3550,3000,4-May-15
80,Vellore,Vellore,Red Gram,Other,FAQ,2500,3001,2700,13-Aug-15
81,Vellore,Vellore,Red Gram,Other,FAQ,3000,5278,4000,14-Sep-15
82,Vellore,Vellore,Red Gram,Other,FAQ,3011,3011,3011,7-Sep-15
83,Vellore,Vellore,Red Gram,Other,FAQ,3050,3050,3050,8-Jan-16
84,Vellore,Vellore,Red Gram,Other,FAQ,3111,4101,4000,28-Apr-15
85,Vellore,Vellore,Red Gram,Other,FAQ,3238,4388,4000,16-Mar-15
86,Vellore,Vellore,Red Gram,Other,FAQ,3320,3420,3400,5-Jan-15
87,Vellore,Vellore,Red Gram,Other,FAQ,3489,3489,3489,6-Jan-15
88,Vellore,Vellore,Red Gram,Other,FAQ,3500,3500,3500,27-May-15
89,Vellore,Vellore,Red Gram,Other,FAQ,3500,3790,3700,21-Jan-15
90,Vellore,Vellore,Red Gram,Other,FAQ,3501,3850,3800,30-Jan-15
91,Vellore,Vellore,Red Gram,Other,FAQ,3501,4311,4000,27-Feb-15
92,Vellore,Vellore,Red Gram,Other,FAQ,3510,3750,3700,8-Jan-15
93,Vellore,Vellore,Red Gram,Other,FAQ,3510,4160,4000,9-Feb-15
94,Vellore,Vellore,Red Gram,Other,FAQ,3600,4250,4000,26-Feb-15
95,Vellore,Vellore,Red Gram,Other,FAQ,3651,3711,3700,9-Jan-15
96,Vellore,Vellore,Red Gram,Other,FAQ,3656,4317,4000,1-Apr-15
97,Vellore,Vellore,Red Gram,Other,FAQ,3690,3690,3690,17-Jun-15
98,Vellore,Vellore,Red Gram,Other,FAQ,3690,3720,3700,12-Jan-15
99,Vellore,Vellore,Red Gram,Other,FAQ,3701,5610,4000,15-Sep-15
100,Vellore,Vellore,Red Gram,Other,FAQ,3710,3830,3800,22-Jan-15
101,Vellore,Vellore,Red Gram,Other,FAQ,3711,3719,3715,3-Feb-15
102,Vellore,Vellore,Red Gram,Other,FAQ,3720,3720,3720,7-Jan-15
103,Vellore,Vellore,Red Gram,Other,FAQ,3720,3720,3720,14-Jan-15
104,Vellore,Vellore,Red Gram,Other,FAQ,3720,3910,3800,5-Feb-15
105,Vellore,Vellore,Red Gram,Other,FAQ,3730,3730,3730,13-Jan-15
106,Vellore,Vellore,Red Gram,Other,FAQ,3730,4160,4000,6-Feb-15
107,Vellore,Vellore,Red Gram,Other,FAQ,3750,4062,4000,4-Feb-15
108,Vellore,Vellore,Red Gram,Other,FAQ,3768,4570,4200,9-Apr-15
109,Vellore,Vellore,Red Gram,Other,FAQ,3770,4330,4000,18-Feb-15
110,Vellore,Vellore,Red Gram,Other,FAQ,3771,3771,3771,19-Jan-15
111,Vellore,Vellore,Red Gram,Other,FAQ,3800,3910,3900,29-Jan-15
112,Vellore,Vellore,Red Gram,Other,FAQ,3800,4450,4000,25-Jun-15
113,Vellore,Vellore,Red Gram,Other,FAQ,3811,3910,3900,2-Feb-15
114,Vellore,Vellore,Red Gram,Other,FAQ,3820,3890,3850,20-Jan-15
115,Vellore,Vellore,Red Gram,Other,FAQ,3820,4311,4000,4-Mar-15
116,Vellore,Vellore,Red Gram,Other,FAQ,3838,4567,4000,17-Mar-15
117,Vellore,Vellore,Red Gram,Other,FAQ,3850,4080,4000,23-Jan-15
118,Vellore,Vellore,Red Gram,Other,FAQ,3860,4378,4000,2-Mar-15
119,Vellore,Vellore,Red Gram,Other,FAQ,3860,4460,4000,13-Mar-15
120,Vellore,Vellore,Red Gram,Other,FAQ,3889,3889,3889,17-Feb-15
121,Vellore,Vellore,Red Gram,Other,FAQ,3889,4311,4000,7-May-15
122,Vellore,Vellore,Red Gram,Other,FAQ,3889,4371,4000,3-Mar-15
