Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900,2000,1950,10 Feb 2023
2,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900,2000,1950,16 Dec 2022
3,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2600,2700,2650,19 Jan 2024
4,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2600,2700,2650,24 May 2022
5,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2600,2800,2700,18 Oct 2022
6,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2700,2800,2750,25 Oct 2022
7,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2500,2600,2550,02 Feb 2022
8,Namakkal,Namagiripettai,Jowar(Sorghum),Other,FAQ,5400,5500,5450,23 May 2024
9,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,2200,2400,2300,10 Mar 2023
10,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,4300,4500,4400,14 Jun 2023
11,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,4600,5000,4800,23 Aug 2023
12,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,1900,2000,1950,22 Sep 2023
13,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,2000,2520,2260,16 Oct 2023
14,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2500,3500,3000,12 Mar 2024
15,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,02 Mar 2022
16,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,06 Feb 2023
17,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,17 Feb 2022
18,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2750,3450,3150,10 Aug 2023
19,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,3000,4000,3500,28 Apr 2023
20,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,2300,2366,2354,17 Mar 2025
21,Madurai,Usilampatty,Jowar(Sorghum),Other,Local,2900,3000,2950,23 Jun 2025
22,Vellore,Vellore,Jowar(Sorghum),Local,FAQ,4320,4320,4320,05 Feb 2024
23,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1005,1005,1005,11 Apr 2023
24,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3412,3412,3412,20 Apr 2023
25,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900,2000,1950,10 Jun 2022
26,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900,2000,1950,19 Sep 2022
27,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900,2000,1950,21 Jun 2022
28,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2500,2700,2600,12 Feb 2024
29,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2500,2700,2600,21 Feb 2024
30,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2700,2800,2750,08 Apr 2022
31,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2500,2800,2650,11 Jul 2022
32,Coimbatore,Chengeri,Jowar(Sorghum),Annigeri,FAQ,1600,1800,1700,28 Dec 2023
33,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,2100,2700,2500,29 Jul 2022
34,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,4500,5000,4800,26 Mar 2024
35,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,4800,5000,4800,18 Nov 2023
36,Namakkal,Namakkal,Jowar(Sorghum),Other,Local,4800,5000,4900,13 Jun 2025
37,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,2000,2560,2340,13 Sep 2023
38,Coimbatore,Sulur,Jowar(Sorghum),Other,Local,4000,5000,4500,30 May 2025
39,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2100,3100,2600,26 Jun 2023
40,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2700,3150,2950,18 Jun 2024
41,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,02 Feb 2022
42,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,21 Apr 2022
43,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2000,3000,2500,01 Nov 2023
44,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2000,3000,2500,16 Oct 2023
45,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2000,3000,2500,22 Nov 2023
46,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2500,3100,2800,22 Feb 2024
47,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2500,3800,3400,19 Sep 2023
48,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2800,3500,3000,08 Aug 2023
49,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,3000,4000,3500,20 Apr 2023
50,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,2119,2419,2393,14 May 2025
51,Vellore,Vellore,Jowar(Sorghum),Local,FAQ,3159,3159,3159,14 Jun 2024
52,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2655,2655,2655,26 Sep 2022
53,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2800,4418,4418,19 Dec 2023
54,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2838,2838,2838,22 Aug 2022
55,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3322,3322,3322,13 Feb 2023
56,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3636,3636,3636,28 Apr 2022
57,Villupuram,Villupuram,Jowar(Sorghum),Other,Local,2189,2419,2304,27 Mar 2025
58,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2600,2700,2650,27 Apr 2022
59,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2700,2800,2750,07 Apr 2022
60,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2700,2800,2750,12 Apr 2022
61,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,4100,4200,4150,31 Jul 2023
62,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2500,2800,2600,10 Jan 2022
63,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,2000,2200,2100,07 Jan 2022
64,Namakkal,Namakkal,Jowar(Sorghum),Other,Local,4800,5000,4900,08 May 2025
65,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,4000,4000,4000,04 Aug 2023
66,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2700,3550,3300,14 May 2024
67,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,01 Aug 2022
68,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,05 May 2022
69,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,17 Apr 2023
70,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,28 Feb 2023
71,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,29 Jan 2022
72,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,1800,2200,2000,13 Sep 2023
73,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2700,3400,3100,21 Aug 2023
74,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,3000,4000,3500,02 Aug 2023
75,Namakkal,Tiruchengode,Jowar(Sorghum),Other,Local,2900,3300,3100,14 Mar 2025
76,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3010,3010,3010,26 Oct 2023
77,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3312,3512,3500,07 Feb 2023
78,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3812,3812,3812,19 Dec 2022
79,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3820,3820,3820,05 Jan 2023
80,Virudhunagar,Virudhunagar,Jowar(Sorghum),Red,FAQ,3500,4000,3925,08 Dec 2023
81,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900,2000,1950,15 Sep 2022
82,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2600,2700,2650,18 May 2022
83,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2800,2900,2850,07 Feb 2022
84,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2900,2950,2925,01 Feb 2022
85,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,4300,5000,4600,30 May 2024
86,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,2000,3250,2625,06 Oct 2023
87,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,2280,3270,2680,31 Oct 2023
88,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,3070,3440,3260,10 Apr 2024
89,Virudhunagar,Sathur,Jowar(Sorghum),Red,FAQ,4500,4800,4700,25 Sep 2023
90,Salem,Thammampati,Jowar(Sorghum),Other,FAQ,2200,2400,2300,09 Sep 2022
91,Salem,Thammampati,Jowar(Sorghum),Other,FAQ,2300,2500,2400,12 Oct 2022
92,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2500,3500,3000,12 Dec 2023
93,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,08 Nov 2022
94,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,10 Mar 2022
95,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,3000,4000,3500,10 Jun 2024
96,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,3000,4000,3500,21 Feb 2023
97,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,3000,4000,3500,25 Oct 2022
98,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,1721,2339,2279,12 Jun 2025
99,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,1851,2329,2200,04 Jun 2025
100,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,1889,2369,2129,27 May 2025
101,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,2081,2412,2389,13 May 2025
102,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,2250,2378,2359,26 Mar 2025
103,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,2416,2454,2431,08 Jul 2025
104,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2620,2620,2620,04 Jul 2022
105,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2910,2910,2910,23 May 2022
106,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3312,3312,3312,30 Mar 2023
107,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3333,3333,3333,24 Mar 2022
108,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,4860,4860,4860,16 Oct 2023
109,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,5500,5500,5500,24 Jul 2023
110,Virudhunagar,Virudhunagar,Jowar(Sorghum),Red,FAQ,3200,3800,3600,20 Dec 2023
111,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1800,2000,1900,09 Sep 2022
112,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900,2000,1950,27 Sep 2022
113,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2600,2700,2650,28 Apr 2022
114,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2700,2800,2750,18 Apr 2022
115,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2550,2600,2580,02 Jul 2022
116,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,1980,2500,2210,11 Sep 2023
117,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,3400,4000,3600,22 Apr 2024
118,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,04 Jul 2022
119,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,06 Jul 2022
120,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,15 Mar 2023
121,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,19 Jun 2023
122,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,20 Apr 2022
123,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,21 Jan 2022
124,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3500,4500,4000,12 Jan 2022
125,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2000,2900,2400,30 Oct 2023
126,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2300,3000,2600,23 Jun 2023
127,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2500,3800,3400,21 Sep 2023
128,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,3000,4000,3500,03 Jan 2023
129,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,3000,4000,3500,26 Apr 2023
130,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,3100,4200,3600,22 Jun 2023
131,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,1719,2395,2259,21 May 2025
132,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,1819,2372,2239,17 Jun 2025
133,Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,2239,2401,2329,24 Mar 2025
134,Vellore,Vellore,Jowar(Sorghum),Local,FAQ,2512,2512,2512,04 Mar 2024
135,Vellore,Vellore,Jowar(Sorghum),Local,FAQ,3012,4210,4210,22 Feb 2024
136,Vellore,Vellore,Jowar(Sorghum),Local,FAQ,3760,3760,3760,22 Mar 2024
137,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2020,2810,2810,21 Oct 2022
138,Virudhunagar,Virudhunagar,Jowar(Sorghum),Red,FAQ,5000,5500,5300,18 Oct 2023
139,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900,2000,1950,06 Oct 2022
140,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2600,2700,2650,10 May 2022
141,Ariyalur,Andimadom,Jowar(Sorghum),Other,FAQ,4400,4500,4450,12 Oct 2022
142,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2500,2700,2650,29 Jan 2022
143,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,3200,3450,3350,06 Oct 2022
144,Coimbatore,Annur,Jowar(Sorghum),Other,Local,3350,4000,3500,06 May 2025
145,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,4000,5000,4500,20 Feb 2024
146,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,2000,2560,2280,17 Oct 2023
147,Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,2400,3000,2800,19 Sep 2023
148,Erode,Sathyamangalam,Jowar(Sorghum),Jowar ( White),FAQ,1800,2000,1900,25 Oct 2023
149,Coimbatore,Sulur,Jowar(Sorghum),Other,Local,5000,6000,5500,24 Apr 2025
150,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2000,4000,3500,26 Oct 2023
151,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2800,3800,3200,23 May 2024
