District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1371.0,1379.0,1372.0,2017-11-22,2
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1371.0,1480.0,1480.0,2016-01-18,0
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700.0,1739.0,1728.0,2017-08-29,1
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1960.0,2000.0,2000.0,2015-03-10,1
Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1519.0,1519.0,1519.0,2016-08-29,0
Coimbatore,Karamadai,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800.0,2000.0,1900.0,2016-07-16,5
Cuddalore,Sethiathoppu,Bajra(Pearl Millet/Cumbu),Other,FAQ,1215.0,1289.0,1239.0,2015-09-01,1
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200.0,1300.0,1250.0,2015-06-24,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200.0,1400.0,1300.0,2015-03-18,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250.0,1450.0,1350.0,2017-05-04,3
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300.0,1500.0,1400.0,2016-11-09,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350.0,1550.0,1450.0,2017-05-24,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450.0,1550.0,1500.0,2018-02-26,0
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600.0,1700.0,1650.0,2018-07-11,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650.0,1750.0,1700.0,2018-09-24,0
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650.0,1880.0,1750.0,2018-10-10,2
Cuddalore,Tittakudi,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1524.0,1527.0,1527.0,2017-01-21,5
Cuddalore,Virudhachalam,Bajra(Pearl Millet/Cumbu),Other,FAQ,1789.0,4209.0,1789.0,2016-07-28,3
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000.0,1191.0,1180.0,2017-11-30,3
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1006.0,1150.0,1050.0,2017-11-17,4
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300.0,1334.0,1325.0,2017-10-24,1
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1310.0,1310.0,1310.0,2015-04-06,0
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1669.0,1669.0,1669.0,2016-08-11,3
Coimbatore,Karamadai,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600.0,1800.0,1700.0,2018-02-26,0
Cuddalore,Sethiathoppu,Bajra(Pearl Millet/Cumbu),Other,FAQ,1415.0,0.0,0.0,2015-09-02,2
Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1271.0,1271.0,1271.0,2018-02-05,0
Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1369.0,1479.0,1439.0,2018-05-14,0
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200.0,1300.0,1250.0,2015-04-09,3
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350.0,1450.0,1400.0,2017-01-25,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450.0,1550.0,1500.0,2018-02-17,5
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500.0,1600.0,1550.0,2018-05-10,3
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550.0,1650.0,1600.0,2018-06-06,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600.0,1700.0,1650.0,2018-07-10,1
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600.0,1800.0,1700.0,2018-09-27,3
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650.0,1850.0,1750.0,2018-10-31,2
Cuddalore,Virudhachalam,Bajra(Pearl Millet/Cumbu),Other,FAQ,1259.0,1440.0,1389.0,2018-10-08,0
Cuddalore,Virudhachalam,Bajra(Pearl Millet/Cumbu),Other,FAQ,1494.0,2843.0,1551.0,2016-10-25,1
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1463.0,1463.0,1463.0,2015-08-12,2
Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1069.0,1189.0,1129.0,2017-06-13,1
Salem,Gangavalli,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900.0,2000.0,1950.0,2017-09-14,3
Salem,Gangavalli,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900.0,2100.0,2000.0,2017-06-06,1
Salem,Gangavalli,Bajra(Pearl Millet/Cumbu),Other,FAQ,2100.0,2300.0,2200.0,2017-05-25,3
Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1579.0,1579.0,1579.0,2016-10-14,4
Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1600.0,1600.0,1600.0,2016-11-14,0
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100.0,1300.0,1200.0,2016-06-15,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100.0,1300.0,1200.0,2015-06-17,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100.0,1300.0,1200.0,2016-01-23,5
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150.0,1350.0,1250.0,2015-04-07,1
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200.0,1300.0,1250.0,2015-05-07,3
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200.0,1300.0,1250.0,2015-05-13,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500.0,1600.0,1550.0,2018-05-09,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500.0,1600.0,1550.0,2018-03-28,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650.0,1750.0,1700.0,2018-08-09,3
Cuddalore,Virudhachalam,Bajra(Pearl Millet/Cumbu),Other,FAQ,5161.0,7495.0,6329.0,2017-06-13,1
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1261.0,1261.0,1261.0,2015-01-28,2
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1273.0,1310.0,1295.0,2017-10-04,2
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1426.0,1426.0,1426.0,2016-01-21,3
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1435.0,1435.0,1435.0,2015-05-21,3
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1537.0,1539.0,1539.0,2015-09-09,2
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1625.0,1630.0,1629.0,2016-10-27,3
Coimbatore,Karamadai,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500.0,1600.0,1550.0,2016-02-26,4
Cuddalore,Sethiathoppu,Bajra(Pearl Millet/Cumbu),Other,FAQ,1156.0,1315.0,1267.0,2015-08-31,0
Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1500.0,1571.0,1561.0,2016-12-09,4
Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1561.0,1561.0,1561.0,2016-10-05,2
Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1629.0,1629.0,1629.0,2016-11-16,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100.0,1300.0,1250.0,2015-04-29,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200.0,1300.0,1250.0,2015-06-01,0
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200.0,1400.0,1300.0,2016-08-24,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250.0,1450.0,1350.0,2016-12-17,5
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1330.0,1400.0,1380.0,2016-12-21,2
Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500.0,1600.0,1550.0,2018-04-25,2
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1359.0,1560.0,1409.0,2017-11-27,0
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1479.0,1603.0,1569.0,2015-09-29,1
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1531.0,1531.0,1531.0,2015-10-28,2
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1552.0,1629.0,1553.0,2015-10-19,0
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1569.0,1603.0,1601.0,2015-09-01,1
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700.0,1700.0,1700.0,2016-09-12,0
Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700.0,1821.0,1819.0,2018-12-12,2
Salem,Gangavalli,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700.0,1800.0,1750.0,2017-11-06,0
Coimbatore,Karamadai,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300.0,1400.0,1350.0,2015-06-09,1
Coimbatore,Karamadai,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600.0,1800.0,1700.0,2018-02-27,1
Cuddalore,Sethiathoppu,Bajra(Pearl Millet/Cumbu),Other,FAQ,0.0,974.0,0.0,2015-09-04,4
