District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Vellore,Ammoor,Ragi (Finger Millet),Other,FAQ,0.0,3529.0,3529.0,2024-03-25,0
Vellore,Ammoor,Ragi (Finger Millet),Other,FAQ,3400.0,3559.0,3480.0,2024-03-06,2
Vellore,Ammoor,Ragi (Finger Millet),Red,FAQ,0.0,2720.0,2720.0,2023-07-14,4
Vellore,Ammoor,Ragi (Finger Millet),Red,FAQ,0.0,2840.0,2840.0,2023-07-13,3
Vellore,Ammoor,Ragi (Finger Millet),Red,FAQ,0.0,2900.0,2900.0,2023-07-11,1
Vellore,Ammoor,Ragi (Finger Millet),Red,FAQ,0.0,3629.0,3629.0,2023-11-14,1
Ariyalur,Andimadom,Ragi (Finger Millet),Other,FAQ,2600.0,2600.0,2600.0,2024-03-02,5
Ariyalur,Andimadom,Ragi (Finger Millet),Other,FAQ,3846.0,3846.0,3846.0,2023-11-21,1
Ariyalur,Andimadom,Ragi (Finger Millet),Other,FAQ,3869.0,3869.0,3869.0,2023-10-13,4
Ariyalur,Andimadom,Ragi (Finger Millet),Other,FAQ,4001.0,4001.0,4001.0,2024-06-03,0
Ariyalur,Andimadom,Ragi (Finger Millet),Other,Local,2610.0,2635.0,2630.0,2025-04-21,0
Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,2648.0,2649.0,2649.0,2023-09-19,1
Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3100.0,3200.0,3200.0,2022-12-20,1
Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3190.0,3410.0,3390.0,2022-10-27,3
Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3200.0,3500.0,3300.0,2022-11-02,2
Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3200.0,3600.0,3400.0,2022-09-29,3
Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3400.0,3700.0,3550.0,2022-04-21,3
Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3400.0,3700.0,3550.0,2022-06-21,1
Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3400.0,3700.0,3569.0,2022-03-15,1
Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3440.0,3770.0,3605.0,2022-03-24,3
Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3500.0,3700.0,3600.0,2022-07-05,1
