District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Other,Local,1825.0,2652.0,2265.0,2025-03-19,2
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Other,Local,1852.0,2625.0,2467.0,2025-07-04,4
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Other,Local,1883.0,2788.0,2241.0,2025-02-27,3
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Other,Local,1919.0,2228.0,2044.0,2024-08-30,4
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Other,Local,1928.0,2696.0,2319.0,2025-07-21,0
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Other,Local,1933.0,2585.0,2252.0,2025-05-15,3
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Other,Local,2161.0,2559.0,2319.0,2025-05-29,3
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Other,Local,2189.0,3173.0,3072.0,2024-10-23,2
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Paddy - General,FAQ,1368.0,1483.0,1453.0,2022-04-22,4
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Paddy - General,FAQ,1390.0,1425.0,1400.0,2022-01-27,3
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Paddy - General,FAQ,1400.0,1493.0,1440.0,2022-02-28,0
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Paddy - General,FAQ,1412.0,1468.0,1439.0,2022-01-28,4
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Paddy - General,FAQ,1505.0,1552.0,1521.0,2022-03-18,4
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Paddy - General,FAQ,1605.0,1705.0,1700.0,2023-02-09,3
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Paddy - General,FAQ,1632.0,1732.0,1712.0,2023-02-14,1
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Paddy - General,FAQ,1675.0,1719.0,1709.0,2023-03-06,0
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Paddy - General,FAQ,1675.0,1732.0,1712.0,2022-09-28,2
Cuddalore,Virudhachalam,Paddy(Dhan)(Common),Paddy - General,FAQ,1745.0,1932.0,1852.0,2023-01-05,3
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1319.0,1417.0,1376.0,2022-03-24,3
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1439.0,1781.0,1610.0,2022-09-05,0
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1452.0,1999.0,1725.0,2024-05-17,4
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1465.0,1897.0,1659.0,2023-03-15,2
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1475.0,1772.0,1623.0,2022-10-31,0
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1613.0,2340.0,1977.0,2023-04-19,2
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1676.0,1841.0,1759.0,2022-12-15,3
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1715.0,1897.0,1806.0,2023-02-07,1
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1887.0,2119.0,2003.0,2023-02-27,0
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1889.0,2640.0,2265.0,2023-09-27,2
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,1947.0,2119.0,2033.0,2023-02-01,2
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2067.0,2283.0,2200.0,2023-03-30,3
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2092.0,2631.0,2361.0,2024-04-04,3
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2133.0,2795.0,2464.0,2024-03-11,0
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2143.0,2636.0,2389.0,2024-05-07,1
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2151.0,2653.0,2402.0,2024-04-03,2
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2173.0,2791.0,2482.0,2024-04-23,1
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2225.0,2657.0,2441.0,2024-05-21,1
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2253.0,2772.0,2513.0,2024-02-28,2
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2307.0,2787.0,2547.0,2024-02-27,1
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2343.0,2631.0,2487.0,2023-10-12,3
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2520.0,3160.0,2840.0,2024-01-22,0
Thiruvannamalai,Vandavasi,Paddy(Dhan)(Common),Other,FAQ,2812.0,3044.0,2928.0,2024-02-09,4
